"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "JSON", "Markdown", "YAML", "JavaScript", "CSS", "Python", "Docker", "pip requirements", "HTML", "comment", "blank", "total"
"/Users/wjshewitt/prospect/src/components/map/map-provider-manager.tsx", "TypeScript JSX", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 119
"/Users/wjshewitt/prospect/src/components/map/name-site-dialog.tsx", "TypeScript JSX", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 79
"/Users/wjshewitt/prospect/src/components/map/shape-context-menu.tsx", "TypeScript JSX", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 82
"/Users/wjshewitt/prospect/src/components/map/site-marker.tsx", "TypeScript JSX", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22, 95
"/Users/wjshewitt/prospect/src/components/map/zone-dialog.tsx", "TypeScript JSX", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 116
"/Users/wjshewitt/prospect/src/components/measurement/measurement-overlay.tsx", "TypeScript JSX", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 82
"/Users/wjshewitt/prospect/src/components/project/create-project-modal.tsx", "TypeScript JSX", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 135
"/Users/wjshewitt/prospect/src/components/project/project-details-step.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 74
"/Users/wjshewitt/prospect/src/components/project/project-location-step.tsx", "TypeScript JSX", 0, 485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 34, 531
"/Users/wjshewitt/prospect/src/components/project/project-name-step.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"/Users/wjshewitt/prospect/src/components/sidebar/ai-placement-panel.tsx", "TypeScript JSX", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 142
"/Users/wjshewitt/prospect/src/components/sidebar/ai-summary-panel.tsx", "TypeScript JSX", 0, 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 28, 339
